Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	sample-01	sample-02	sample-03	sample-04	sample-05	sample-06	sample-07	sample-08	sample-09	sample-10	sample-11	sample-12	sample-13	sample-14	sample-15	sample-16
contam_sp|P12081|SYHC_HUMAN	P12081	SYHC_HUMAN	HARS	509	Homo sapiens	Histidine--tRNA ligase, cytoplasmic 	1:Experimental evidence at protein level	1.0000	0.9990	5	3	5	5	3	5	2243962	2134453	2243962	11K(304.2071), 7K(304.2071), N-term(304.2071)			794928.7188	3217.8717	3117.3389	9.9828	3.9006	0.0511	0.0000	81.7392	5.8359	103.0328	37.1321	40.4375	57.7239	793.6626	70.6780	33.5910
contam_sp|P13645|K1C10_HUMAN	P13645	K1C10_HUMAN	KRT10	584	Homo sapiens	Keratin, type I cytoskeletal 10 	1:Experimental evidence at protein level	1.0000	0.9990	7	5	7	7	5	7	3322248	1070964	3322248	11M(15.9949), 26M(15.9949), 3M(15.9949)			143313.2698	393.7743	704.4641	0.7610	0.5208	0.0000	0.0000	113.0710	8.1405	113.3559	34.6872	41.9015	56.4611	597.1147	53.9364	40.6690
contam_sp|P35527|K1C9_HUMAN	P35527	K1C9_HUMAN	KRT9	623	Homo sapiens	Keratin, type I cytoskeletal 9 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	9	10	10	10	6061663	6061663	6061663	1M(15.9949), 3M(15.9949), N-term(304.2071)			304068.4658	817.7876	1036.8203	4.0152	1.0209	1.9810	0.2676	7167.7488	17.0349	180.8837	56.1537	56.3683	94.6400	1003.5777	128.6337	74.3325
contam_sp|P35908|K22E_HUMAN	P35908	K22E_HUMAN	KRT2	639	Homo sapiens	Keratin, type II cytoskeletal 2 epidermal 	1:Experimental evidence at protein level	1.0000	0.9990	1	0	1	1	0	1	 97460	     0	 97460				10482.6670	21.6370	82.8009	0.7585	0.0000	0.0000	0.0000	50.6962	2.8270	27.5561	21.0825	9.1771	11.4015	157.4152	9.7022	12.3594
contam_sp|P61626|LYSC_HUMAN	P61626	LYSC_HUMAN	LYZ	148	Homo sapiens	Lysozyme C 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	4	4	4	4657010	4657010	4657010	3C(57.0214), 7K(304.2071), N-term(304.2071)			741570.8008	3048.4981	843.3835	2.9094	0.5335	0.4190	0.0283	991.0894	8.4540	85.6671	35.9143	41.4991	58.1064	531.6914	83.5863	24.9039
contam_sp|P62937|PPIA_HUMAN	P62937	PPIA_HUMAN	PPIA	165	Homo sapiens	Peptidyl-prolyl cis-trans isomerase A 	1:Experimental evidence at protein level	1.0000	0.9990	7	4	7	12	8	12	146561548	99319672	146561548	24C(57.0214), 27K(304.2071), 3M(15.9949), 6M(15.9949), 7C(57.0214), 7K(304.2071), 9K(304.2071), 9M(15.9949), N-term(304.2071)			4972682.7188	14444.5881	9856.2986	28.4264	2.7763	0.0722	0.0000	350.8561	20.9697	1091.0144	156.5251	258.3364	498.7493	8218.4984	704.9640	343.9451
contam_sp|P62979|RS27A_HUMAN	P62979	RS27A_HUMAN	RPS27A	156	Homo sapiens	Ubiquitin-40S ribosomal protein S27a 	1:Experimental evidence at protein level	1.0000	0.9990	5	1	5	16	1	16	148776010	588417	148776010	16K(304.2071), 2C(57.0214), 7C(57.0214), 9K(304.2071), N-term(304.2071)			5002705.7754	23080.2588	12098.3639	51.9476	2.6418	0.3511	0.0000	1178.3046	54.9351	1329.9532	457.1081	499.1028	848.7295	7343.3427	674.2589	626.6011
contam_sp|P63279|UBC9_HUMAN	P63279	UBC9_HUMAN	UBE2I	158	Homo sapiens	SUMO-conjugating enzyme UBC9 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	14238628	14238628	14238628	12K(304.2071), 9K(304.2071), N-term(304.2071)			1599052.8750	5691.7295	4460.1710	16.4561	0.9106	0.0000	0.0000	15.5393	1.0966	62.9424	8.4378	19.9277	29.7455	498.8797	54.0034	14.1037
contam_sp|P69905|HBA_HUMAN	P69905	HBA_HUMAN	HBA1	142	Homo sapiens	Hemoglobin subunit alpha 	1:Experimental evidence at protein level	1.0000	0.9990	3	2	3	3	2	3	4345199	1966261	4345199	12K(304.2071), 7K(304.2071), N-term(304.2071)			815017.2578	2014.9678	1584.9198	4.1172	0.9409	0.0000	0.0000	23.7131	1.9040	31.7362	8.7057	12.5912	22.5642	229.6342	24.6273	15.3208
contam_sp|P99999|CYC_HUMAN	P99999	CYC_HUMAN	CYCS	105	Homo sapiens	Cytochrome c 	1:Experimental evidence at protein level	1.0000	0.9990	2	1	2	2	1	2	11525156	2805082	11525156	8K(304.2071), N-term(304.2071)			470083.8438	1761.4938	2061.7482	6.3609	0.8699	0.1023	0.0000	81.3075	47.3094	215.9531	60.3339	95.0447	155.2141	849.7366	199.1933	69.8458
contam_sp|Q06830|PRDX1_HUMAN	Q06830	PRDX1_HUMAN	PRDX1	199	Homo sapiens	Peroxiredoxin-1 	1:Experimental evidence at protein level	1.0000	0.9990	6	4	6	8	6	8	48218118	38142240	48218118	10K(304.2071), 11K(304.2071), 5C(57.0214), 5M(15.9949), 8K(304.2071), N-term(304.2071)			6237404.8750	18152.5603	11168.8755	26.6571	2.6805	0.0666	0.1300	212.9196	13.1741	482.7892	101.4280	135.3457	234.4778	3917.9876	253.7141	117.2024
sp|A0A0B4J2D5|GAL3B_HUMAN	A0A0B4J2D5	GAL3B_HUMAN	GATD3B	268	Homo sapiens OX=9606	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial 	5:Protein uncertain	1.0000	0.9990	1	0	1	1	0	1	554792	     0	554792	10K(304.2071), N-term(304.2071)		sp|P0DPI2|GAL3A_HUMAN	158655.4531	656.6592	713.4475	2.3751	0.5570	0.0000	0.0000	11.6444	0.0000	19.5253	5.4651	14.5463	10.9935	99.6941	10.5397	7.5855
sp|A5A3E0|POTEF_HUMAN	A5A3E0	POTEF_HUMAN	POTEF	1075	Homo sapiens OX=9606	POTE ankyrin domain family member F 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	2	2	2	387977120	2989949	2989949	12M(15.9949), 23K(304.2071), 2C(57.0214), N-term(304.2071)			336961.8242	784.0432	1229.9729	2.5452	0.6423	0.0000	0.0000	8.7040	0.0000	15.5816	3.3323	7.8322	5.6864	133.6247	9.9777	6.0560
sp|A6NHQ2|FBLL1_HUMAN	A6NHQ2	FBLL1_HUMAN	FBLL1	334	Homo sapiens OX=9606	rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1 	3:Protein inferred from homology	1.0000	0.9990	1	1	1	1	1	1	4285946	606167	606167	N-term(304.2071)			84069.1875	264.6604	396.9865	2.0700	0.2315	0.0000	0.0000	8.7616	0.0000	12.1262	2.9544	5.3648	6.0347	64.2045	5.2326	4.0216
sp|B7ZW38|HNRC3_HUMAN	B7ZW38	HNRC3_HUMAN	HNRNPCL3	293	Homo sapiens OX=9606	Heterogeneous nuclear ribonucleoprotein C-like 3 	2:Experimental evidence at transcript level	1.0000	0.9990	5	0	5	6	0	6	10262888	     0	10262888	10K(304.2071), 12K(304.2071), 1K(304.2071), 7K(304.2071), 9K(304.2071), N-term(304.2071), N-term(42.0106)		sp|O60812|HNRC1_HUMAN, sp|P0DMR1|HNRC4_HUMAN	1737446.3936	6737.7219	8303.5883	28.1199	4.2100	0.0498	0.0310	112.4632	17.1384	199.6877	37.5737	54.8362	89.6283	892.5028	119.4953	63.0163
sp|C9JRZ8|AK1BF_HUMAN	C9JRZ8	AK1BF_HUMAN	AKR1B15	316	Homo sapiens OX=9606	Aldo-keto reductase family 1 member B15 	1:Experimental evidence at protein level	1.0000	0.9990	4	0	4	5	0	5	13942416	     0	13942416	5C(57.0214), 8K(304.2071), 9K(304.2071), N-term(304.2071), N-term(42.0106)			2560130.0781	8994.7233	6234.9997	17.3289	1.7818	0.0000	0.0368	108.9034	14.8748	163.5155	60.5286	74.4706	107.5749	961.6407	137.3880	65.2753
sp|E9PAV3|NACAM_HUMAN	E9PAV3	NACAM_HUMAN	NACA	2078	Homo sapiens OX=9606	Nascent polypeptide-associated complex subunit alpha, muscle-specific form 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	2	0	2	6592469	     0	6592469	14K(304.2071), 15K(304.2071), N-term(304.2071)		sp|Q13765|NACA_HUMAN	642453.1328	2441.6024	3353.4397	9.5731	0.9999	0.0000	0.0000	8.8186	4.5987	35.1562	8.6836	14.6756	24.3001	320.0401	33.8247	15.3752
sp|O00116|ADAS_HUMAN	O00116	ADAS_HUMAN	AGPS	658	Homo sapiens OX=9606	Alkyldihydroxyacetonephosphate synthase, peroxisomal 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	645442	645442	645442	15K(304.2071), N-term(304.2071)			99559.0234	321.5661	323.7164	0.0000	0.0000	0.0000	0.0000	12.9188	0.0000	9.2305	2.8411	5.1328	4.9598	113.3457	3.3922	7.5217
sp|O00148|DX39A_HUMAN	O00148	DX39A_HUMAN	DDX39A	427	Homo sapiens OX=9606	ATP-dependent RNA helicase DDX39A 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	1	1	1	12952130	963048	963048	7C(57.0214), 9K(304.2071), N-term(304.2071)			306728.8750	1057.1268	1340.0470	4.6271	0.8973	0.0000	0.0000	17.1910	2.9744	38.3264	9.2182	8.3887	23.1720	198.2838	23.0165	10.8388
sp|O00151|PDLI1_HUMAN	O00151	PDLI1_HUMAN	PDLIM1	329	Homo sapiens OX=9606	PDZ and LIM domain protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	2778886	2778886	2778886	11C(57.0214), 11K(304.2071), 13K(304.2071), 1C(57.0214), N-term(304.2071)			401996.8984	1348.9501	1036.6912	2.5866	0.4310	0.0000	0.0000	38.7427	0.0000	50.5324	12.8568	12.2618	27.5291	397.2882	15.5453	20.7692
sp|O00154|BACH_HUMAN	O00154	BACH_HUMAN	ACOT7	380	Homo sapiens OX=9606	Cytosolic acyl coenzyme A thioester hydrolase 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	1	1	1	486276	486276	486276	11K(304.2071), N-term(304.2071)			77458.5781	197.7143	279.8483	1.1265	0.3947	0.0000	0.0000	7.0829	0.0000	5.4832	0.0000	2.2703	6.1488	51.7975	3.9502	3.9748
sp|O00159|MYO1C_HUMAN	O00159	MYO1C_HUMAN	MYO1C	1063	Homo sapiens OX=9606	Unconventional myosin-Ic 	1:Experimental evidence at protein level	1.0000	0.9990	7	6	7	7	6	7	2454451	1960874	2454451	15K(304.2071), 8K(304.2071), 9C(57.0214), N-term(304.2071)			797016.7910	2809.4918	3287.8619	11.4994	3.4078	0.4523	0.2750	88.2979	17.1284	111.5630	42.6308	42.5167	51.5939	863.0484	63.1858	50.4913
sp|O00170|AIP_HUMAN	O00170	AIP_HUMAN	AIP	330	Homo sapiens OX=9606	AH receptor-interacting protein 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	1	1	1	392914	392914	392914	N-term(304.2071)			105647.0078	283.1941	450.8552	1.0612	0.0000	0.0000	0.0000	7.2988	0.0000	16.3044	2.3110	2.6484	6.0086	96.6783	8.7156	3.3965
sp|O00178|GTPB1_HUMAN	O00178	GTPB1_HUMAN	GTPBP1	669	Homo sapiens OX=9606	GTP-binding protein 1 	1:Experimental evidence at protein level	1.0000	0.9989	1	1	1	1	1	1	1617146	1617146	1617146	2M(15.9949), N-term(304.2071)			138068.9062	469.8785	626.8148	1.0000	0.4078	0.0000	0.0000	7.9460	1.5112	5.2426	7.8965	6.0902	6.9139	345.8310	9.8186	7.4125
sp|O00203|AP3B1_HUMAN	O00203	AP3B1_HUMAN	AP3B1	1094	Homo sapiens OX=9606	AP-3 complex subunit beta-1 	1:Experimental evidence at protein level	1.0000	0.9990	4	3	4	4	3	4	403756	152671	403756	11C(57.0214), 11K(304.2071), N-term(304.2071)			184326.6387	523.1432	847.2922	1.4181	0.0000	0.0000	0.0000	23.4443	1.3019	29.2917	9.8077	12.7339	24.9147	193.7209	22.5673	16.0463
sp|O00217|NDUS8_HUMAN	O00217	NDUS8_HUMAN	NDUFS8	210	Homo sapiens OX=9606	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	1	1	1	494939	494939	494939	2C(57.0214), 6C(57.0214), N-term(304.2071)			60527.9570	215.2460	269.8081	1.0462	0.3034	0.0000	0.0000	6.0716	0.9648	13.9284	5.1123	4.9863	4.4627	92.7408	7.6840	2.7212
sp|O00231|PSD11_HUMAN	O00231	PSD11_HUMAN	PSMD11	422	Homo sapiens OX=9606	26S proteasome non-ATPase regulatory subunit 11 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	7	7	7	4463258	4463258	4463258	11K(304.2071), 12K(304.2071), 14K(304.2071), 7K(304.2071), N-term(304.2071)			1135237.8965	4017.6591	3015.6290	7.7030	0.8589	0.0666	0.0634	103.6048	8.1356	139.3040	45.5944	49.8039	64.0190	1037.2484	78.3122	44.9356
sp|O00232|PSD12_HUMAN	O00232	PSD12_HUMAN	PSMD12	456	Homo sapiens OX=9606	26S proteasome non-ATPase regulatory subunit 12 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	5	5	5	1371215	1371215	1371215	13K(304.2071), 1K(304.2071), 7K(304.2071), N-term(304.2071)			599383.3506	2063.0516	1826.7767	4.9516	0.2881	0.0000	0.0000	17.1205	1.8397	56.5808	8.4913	13.3616	29.1586	583.8964	44.4669	24.3796
sp|O00264|PGRC1_HUMAN	O00264	PGRC1_HUMAN	PGRMC1	195	Homo sapiens OX=9606	Membrane-associated progesterone receptor component 1 	1:Experimental evidence at protein level	1.0000	0.9990	3	2	3	3	2	3	2510886	1132986	2510886	6C(57.0214), 9K(304.2071), N-term(304.2071)			354482.1797	1054.7714	1465.2047	2.4274	0.3520	0.0000	0.0000	55.5523	9.1908	62.5051	32.6392	32.9276	46.3914	532.8706	60.1733	53.0873
sp|O00267|SPT5H_HUMAN	O00267	SPT5H_HUMAN	SUPT5H	1087	Homo sapiens OX=9606	Transcription elongation factor SPT5 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	411076	411076	411076	14K(304.2071), 19K(304.2071), N-term(304.2071)			177155.5820	573.4366	661.9563	1.2527	0.0000	0.0000	0.0000	11.5748	2.0958	31.6076	4.0517	8.2207	16.7913	186.5252	21.7041	14.7042
sp|O00299|CLIC1_HUMAN	O00299	CLIC1_HUMAN	CLIC1	241	Homo sapiens OX=9606	Chloride intracellular channel protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	6	6	6	13959636	13959636	13959636	12C(57.0214), 12K(304.2071), 17K(304.2071), 22K(304.2071), 2C(57.0214), 8C(57.0214), 9K(304.2071), N-term(304.2071), N-term(42.0106)			2172189.8438	6863.1662	5802.8576	14.0969	1.5671	0.0000	0.0000	84.0140	6.5937	130.0701	33.0676	59.5883	67.6808	1269.8928	85.1411	44.4665
sp|O00303|EIF3F_HUMAN	O00303	EIF3F_HUMAN	EIF3F	357	Homo sapiens OX=9606	Eukaryotic translation initiation factor 3 subunit F 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	5	5	5	3183143	3183143	3183143	11K(304.2071), 19K(304.2071), N-term(304.2071)			270146.6941	976.3666	1374.7196	3.2903	0.2617	0.0000	0.0000	34.0907	4.7007	60.5359	10.9021	30.8497	39.4266	515.9570	77.7968	37.1048
sp|O00410|IPO5_HUMAN	O00410	IPO5_HUMAN	IPO5	1097	Homo sapiens OX=9606	Importin-5 	1:Experimental evidence at protein level	1.0000	0.9990	9	8	9	10	9	10	3936311	3130789	3936311	12K(304.2071), 15K(304.2071), 16C(57.0214), 17K(304.2071), 18K(304.2071), 20K(304.2071), 9C(57.0214), 9K(304.2071), N-term(304.2071), N-term(42.0106)			1084849.3513	4009.3875	6189.8057	15.4631	1.6147	0.0000	0.0000	113.0552	13.4976	150.1645	47.7212	66.6421	82.9802	1034.3330	105.4263	59.5343
sp|O00425|IF2B3_HUMAN	O00425	IF2B3_HUMAN	IGF2BP3	579	Homo sapiens OX=9606	Insulin-like growth factor 2 mRNA-binding protein 3 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	1	1	1	610333	610333	610333	14K(304.2071), N-term(304.2071)			76983.1719	252.7300	330.0055	1.1553	0.0000	0.0000	0.0000	8.4816	1.6998	11.9542	2.6654	4.9022	8.7442	64.3675	6.1339	6.3705
sp|O00429|DNM1L_HUMAN	O00429	DNM1L_HUMAN	DNM1L	736	Homo sapiens OX=9606	Dynamin-1-like protein 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	1477879	1477879	1477879	10K(304.2071), N-term(304.2071)			338673.5156	1264.6886	1143.9026	4.2619	0.5213	0.1232	0.0487	42.4549	5.9025	57.2132	23.6943	24.8534	23.2653	345.2660	34.2262	19.6363
sp|O00469|PLOD2_HUMAN	O00469	PLOD2_HUMAN	PLOD2	737	Homo sapiens OX=9606	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	1128584	1128584	1128584	8K(304.2071), N-term(304.2071)			219731.1875	756.5245	754.0027	2.6106	0.6222	0.0000	0.0331	34.6677	3.1044	34.3677	16.9770	10.8459	21.3382	226.6228	14.0210	18.1088
sp|O00483|NDUA4_HUMAN	O00483	NDUA4_HUMAN	NDUFA4	81	Homo sapiens OX=9606	Cytochrome c oxidase subunit NDUFA4 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	4067472	4067472	4067472	10K(304.2071), 7K(304.2071), 8K(304.2071), N-term(304.2071)			758817.0156	2508.0034	2148.4288	6.3788	0.6171	0.0000	0.0000	45.4533	6.3197	64.1504	22.3865	18.2925	29.6473	677.1249	46.2620	13.3879
sp|O00487|PSDE_HUMAN	O00487	PSDE_HUMAN	PSMD14	310	Homo sapiens OX=9606	26S proteasome non-ATPase regulatory subunit 14 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	2896409	2896409	2896409	13K(304.2071), N-term(304.2071)			267556.5234	930.4626	1246.9774	3.3266	0.5728	0.0000	0.0000	21.8262	1.3147	32.8682	14.2969	17.5203	18.6979	321.6151	38.3259	22.1725
sp|O00505|IMA4_HUMAN	O00505	IMA4_HUMAN	KPNA3	521	Homo sapiens OX=9606	Importin subunit alpha-4 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	2053000	1672361	1672361	13K(304.2071), 14K(304.2071), 9K(304.2071), N-term(304.2071)			272183.3672	958.4772	991.9657	1.0165	0.0000	0.0000	0.0000	0.0000	0.0000	18.0891	1.7674	6.4963	5.8907	148.6268	14.7758	8.2197
sp|O00534|VMA5A_HUMAN	O00534	VMA5A_HUMAN	VWA5A	786	Homo sapiens OX=9606	von Willebrand factor A domain-containing protein 5A 	1:Experimental evidence at protein level	1.0000	0.9988	2	2	2	2	2	2	1510703	1510703	1510703	8K(304.2071), N-term(304.2071)			327314.7969	1136.4879	1005.2573	2.5925	0.2032	0.0602	0.0000	26.4141	3.1718	27.4264	9.1201	14.8148	16.8036	300.5509	26.4262	16.7460
sp|O00560|SDCB1_HUMAN	O00560	SDCB1_HUMAN	SDCBP	298	Homo sapiens OX=9606	Syntenin-1 	1:Experimental evidence at protein level	1.0000	0.9990	1	0	1	1	0	1	630459	     0	630459	10K(304.2071), N-term(42.0106)			163191.1094	686.6204	933.4806	3.3590	0.2265	0.0000	0.0000	14.8217	2.0068	29.8912	9.1109	15.5066	15.1079	183.2813	25.7236	12.8363
sp|O00567|NOP56_HUMAN	O00567	NOP56_HUMAN	NOP56	594	Homo sapiens OX=9606	Nucleolar protein 56 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	827080	827080	827080	13C(57.0214), 13K(304.2071), N-term(304.2071)			122412.3652	378.6092	607.3469	0.9258	0.2358	0.0000	0.0000	35.3474	10.7074	61.3081	23.5561	28.4583	46.9978	362.6633	74.3465	29.9019
sp|O00571|DDX3X_HUMAN	O00571	DDX3X_HUMAN	DDX3X	662	Homo sapiens OX=9606	ATP-dependent RNA helicase DDX3X 	1:Experimental evidence at protein level	1.0000	0.9990	15	3	15	15	3	15	6810199	4716206	6810199	10K(304.2071), 11K(304.2071), 12K(304.2071), 2C(57.0214), 6C(57.0214), 7K(304.2071), 8K(304.2071), 9K(304.2071), N-term(304.2071)			3059372.4844	10381.1653	8831.9760	28.2875	3.6562	0.0559	0.0000	178.1942	9.0928	218.8070	57.0620	97.8955	100.9536	2535.8019	233.6067	84.2390
sp|O00629|IMA3_HUMAN	O00629	IMA3_HUMAN	KPNA4	521	Homo sapiens OX=9606	Importin subunit alpha-3 	1:Experimental evidence at protein level	1.0000	0.9990	5	4	5	6	5	6	1809304	1266533	1809304	10C(57.0214), 14K(304.2071), 17K(304.2071), N-term(304.2071)			314084.9902	1152.4353	1066.1486	1.8842	0.5568	0.0000	0.0000	28.5589	1.8449	37.7628	7.2550	15.3971	27.2865	331.4848	42.7595	23.8307
sp|O14519|CDKA1_HUMAN	O14519	CDKA1_HUMAN	CDK2AP1	115	Homo sapiens OX=9606	Cyclin-dependent kinase 2-associated protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	1	0	1	1	0	1	528374	     0	528374	10K(304.2071), N-term(304.2071)			179451.4844	756.8737	704.1596	3.5068	0.9130	0.0000	0.0355	19.0425	4.0164	29.5982	4.6230	4.7294	11.8101	99.2904	17.4905	8.3154
